N,pi
1,3.301107739577214
2,3.2518696111019367
3,3.155235683628331
4,3.316615041728472
5,3.101210349972653
6,3.062062234203464
7,3.0219239333660926
8,3.2132043375700348
9,3.0036027176779587
10,3.2018877874471245
11,3.0920434385966087
12,3.116667835555728
13,3.1950979401430653
14,3.0617136807086984
15,3.0256937632661516
16,3.20266757250916
17,3.1706126129132866
18,3.1172134885097145
19,3.127239274301353
20,3.1675012109516785
21,3.096111701348074
22,3.118858409669361
23,3.153289399653566
24,3.150829428364437
25,3.14722032493145
26,3.1745048291390794
27,3.1182671736742185
28,3.2039863629248684
29,3.1069885071034506
30,3.106632330834374
31,3.109235062510246
32,3.125690174207706
33,3.1685159355838324
34,3.1001920126258082
35,3.1602411422780623
36,3.1334278337469876
37,3.2058493623829953
38,3.1866683782708254
39,3.1076996509311288
40,3.2085305858092936
41,3.1627757500589224
42,3.1206726724086367
43,3.1685497318665887
44,3.118158331069448
45,3.105296844798064
46,3.09232934409254
47,3.1299340663743864
48,3.106817919232955
49,3.1285733545025183
50,3.1305409531074697
51,3.1419654206692043
52,3.1320107484498196
53,3.1650463090594743
54,3.2008633433944516
55,3.116275153139287
56,3.100892747726214
57,3.162733372435493
58,3.1433073438815295
59,3.1814424954650136
60,3.1723815563721542
61,3.1457912892634625
62,3.120931185549219
63,3.1684839733542196
64,3.1929090786274217
65,3.1996368329667195
66,3.164755701260512
67,3.1433756193842055
68,3.1101784846865184
69,3.127185157431124
70,3.1446773782509023
71,3.1509520138568976
72,3.1229283579259763
73,3.1368529660451996
74,3.1172605477113167
75,3.1361957192353955
76,3.1532741143755074
77,3.16262281774632
78,3.1314480525248953
79,3.1435712530991817
80,3.147156795707108
81,3.1253214690698035
82,3.1382022437449026
83,3.1631018261110393
84,3.1005068082565095
85,3.1481905881105456
86,3.154463181165641
87,3.133329213955384
88,3.132212069121203
89,3.1934154471732406
90,3.175602609695764
91,3.165033858716825
92,3.1026699709586127
93,3.1219160046841723
94,3.1246878576526154
95,3.1249335751560787
96,3.1687659510848833
97,3.1293047289336386
98,3.1505609609357266
99,3.151548738400239
100,3.175386251369931
101,3.1144005853323544
102,3.1133530683126387
103,3.1269419213692937
104,3.1568406248767897
105,3.094442839716302
106,3.159135916685101
107,3.126493783592012
108,3.1749782012061214
109,3.11794473216264
110,3.168883540034018
111,3.117806892908608
112,3.1413107136153755
113,3.1492401939010697
114,3.121632301564447
115,3.1274322635012957
116,3.124884272000335
117,3.1356117299876605
118,3.145403481947029
119,3.1439622812659778
120,3.160196080727621
121,3.157820524361234
122,3.121206888166695
123,3.1216468646431887
124,3.1485873255183927
125,3.144057191774091
126,3.161481785086904
127,3.148323640855127
128,3.115894569347242
129,3.141070265916677
130,3.1308708668895413
131,3.1576729815743962
132,3.1313961397164762
133,3.1445192372262625
134,3.150343502856119
135,3.1328685389321094
136,3.142015026619376
137,3.157830909649044
138,3.158961970283754
139,3.158947468761241
140,3.136770328343193
141,3.146857470963709
142,3.1112988950451963
143,3.157716223740861
144,3.1430581813472624
145,3.148005359149876
146,3.160371509887583
147,3.1545102749583926
148,3.1099001673518862
149,3.148347734324498
150,3.1708176996288335
151,3.157017429679165
152,3.165034137834735
153,3.1482941862584677
154,3.124259267763586
155,3.122026562942987
156,3.1723872836517915
157,3.1499218862186082
158,3.15030587509129
159,3.148099586549953
160,3.1356395984493406
161,3.146582739661962
162,3.126378698084062
163,3.1430088345268032
164,3.1480909003538806
165,3.1281193729074452
166,3.1164678244266297
167,3.1404980791011705
168,3.136171519827759
169,3.1370956967523824
170,3.132550420080786
171,3.1497947819540393
172,3.1367652377261828
173,3.159758619593543
174,3.1376632423053046
175,3.148961640731898
176,3.1347449426208867
177,3.136971857871944
178,3.124399210299907
179,3.133527943890356
180,3.122387407762768
181,3.134386225110972
182,3.1428827900670724
183,3.1773668508402495
184,3.1556947044078583
185,3.1477739958310145
186,3.154714260944041
187,3.148415025781325
188,3.1647619625224825
189,3.1464502095728135
190,3.150010343428483
191,3.170346534654439
192,3.1517548813024208
193,3.135250248961779
194,3.132356153838925
195,3.162454553470154
196,3.1361989732451834
197,3.1364664425696787
198,3.143189489540656
199,3.1520341255096627
200,3.1493554999059175
201,3.138292710268161
202,3.133549292436305
203,3.107576192659719
204,3.147669396376463
205,3.1263628429616714
206,3.111131458560206
207,3.129853722685395
208,3.1309422785577623
209,3.1553781333499837
210,3.1461140199546085
211,3.1212592647093205
212,3.1480093174248873
213,3.149502090499326
214,3.146116752153063
215,3.141867924811578
216,3.137858767995638
217,3.161883481859868
218,3.1606599043477313
219,3.1384990783128237
220,3.1463157297239617
221,3.1332152404448865
222,3.151909681336668
223,3.1415696549230065
224,3.148237436233752
225,3.140305562600938
226,3.1399261000496415
227,3.1448680580061237
228,3.1494373892867307
229,3.154017965337467
230,3.151940198513577
231,3.1451058167273627
232,3.1576174669858865
233,3.130601253899945
234,3.135083052470915
235,3.159214784855734
236,3.1482172203340926
237,3.1554918743210525
238,3.160430509463566
239,3.1563120189157488
240,3.1177566701647477
241,3.134556047220376
242,3.152863519811377
243,3.1445209011925965
244,3.129584171680015
245,3.1247302562790806
246,3.1311694437865056
247,3.153245828598423
248,3.1447314859326285
249,3.138549067623527
250,3.139968781655294
251,3.1388422514659764
252,3.1240512682544153
253,3.1294473993282423
254,3.138536143309678
255,3.144121656195571
256,3.150315785464073
257,3.1356488323006886
258,3.141950347756501
259,3.1396230969100074
260,3.1593731131839062
261,3.157369227296987
262,3.138507805587515
263,3.139781482897439
264,3.150395358152714
265,3.1372911811546573
266,3.145062380762736
267,3.145654783167055
268,3.1192269821092946
269,3.1359848070233016
270,3.143881630408747
271,3.1520872410347716
272,3.1317755230675846
273,3.1379652323851883
274,3.1364465928260876
275,3.1390015403885334
276,3.1377281894312126
277,3.1605126477844356
278,3.1262500901427543
279,3.1413193805635826
280,3.1350908919098166
281,3.1425359620479756
282,3.151962418913929
283,3.1441568600920173
284,3.1284343313997818
285,3.1404273809374903
286,3.14108933552895
287,3.1470927920062906
288,3.15276316176795
289,3.165340017881445
290,3.1436750271401195
291,3.1488524791755963
292,3.1432180095646056
293,3.1543620754942476
294,3.1564301441687905
295,3.1440999281980013
296,3.1398217970590765
297,3.134556281081902
298,3.122722402657917
299,3.1343893154600355
300,3.1651428469472562
301,3.1625221988340546
302,3.136106661278222
303,3.1520038996394697
304,3.1548619486927056
305,3.1578527787476594
306,3.1500207972501677
307,3.144786462937696
308,3.136959376502966
309,3.1377459224110114
310,3.151477352572706
311,3.1545237612066375
312,3.1410235822243706
313,3.145760948985381
314,3.1534773465195336
315,3.153044551164417
316,3.1617598892585352
317,3.1396881744790033
318,3.1410308673660587
319,3.1381653207770976
320,3.1298911106695635
321,3.133746693898698
322,3.161722037261143
323,3.1631734350608487
324,3.1440372874814417
325,3.1330445728386627
326,3.1298762563305798
327,3.1276832540856367
328,3.1463731020471446
329,3.1159321119184806
330,3.137267615507101
331,3.13839223697232
332,3.1449915539113262
333,3.1277724205005524
334,3.1347759630578254
335,3.1287785005520337
336,3.1541792907230435
337,3.130055471160133
338,3.124254692154367
339,3.1679174752572834
340,3.134113318253879
341,3.1257070386023447
342,3.150466554671155
343,3.150619774773641
344,3.1311113696917645
345,3.1345712323868224
346,3.1465077042578264
347,3.1565915224819965
348,3.141934150675845
349,3.146869382875066
350,3.1218029834974286
351,3.1396542994126095
352,3.1512802378121108
353,3.151812998886008
354,3.1504250751477634
355,3.151923425345584
356,3.1359498410505338
357,3.138235580060577
358,3.1136531155931615
359,3.153087355865271
360,3.155939661560118
